repo,media_cbo,mediana_cbo,desvio_padrao_cbo,media_dit,mediana_dit,desvio_padrao_dit,media_lcom,mediana_lcom,desvio_padrao_lcom
Douya,5.6,4.0,6.35,1.63,1.0,1.09,28.4,1.0,198.6
HyperCeiler,3.94,3.0,5.36,1.5,1.0,0.9,14.86,0.0,90.34
JGrowing,1.53,1.0,1.68,1.0,1.0,0.0,1.95,1.0,4.4
epic,3.23,3.0,5.29,1.62,1.0,0.83,30.4,1.0,219.9
go-lang-idea-plugin,8.12,6.0,8.87,2.07,2.0,1.33,110.03,3.0,2012.34
Depth-LIB-Android-,3.79,2.0,4.6,1.21,1.0,0.43,13.35,0.0,54.52
sqlbrite,4.7,2.0,5.88,1.36,1.0,0.77,4.3,0.0,27.94
android-crop,4.29,1.0,5.56,1.39,1.0,0.67,26.48,0.0,80.43
java-algorithms-implementation,3.71,3.0,3.66,1.58,1.0,2.17,7.05,0.0,24.61
novel-plus,6.48,3.0,7.3,1.21,1.0,0.46,46.16,1.0,123.74
dexposed,2.92,2.0,3.24,1.69,1.0,1.35,82.83,0.0,424.41
jacoco,4.24,3.0,4.42,1.44,1.0,0.69,12.42,0.0,79.32
IoT-Technical-Guide,4.09,3.0,4.33,1.25,1.0,0.49,3.16,0.0,12.06
azkaban,6.47,4.0,8.12,1.35,1.0,0.8,35.84,1.0,172.52
SmoothProgressBar,4.85,3.0,5.0,1.23,1.0,0.47,26.31,0.0,95.34
bottomsheet,4.9,3.0,5.91,1.37,1.0,0.67,27.66,0.0,176.52
Gadgetbridge,5.38,3.0,8.63,1.83,2.0,1.44,38.69,0.0,335.39
bilibili-android-client,4.92,3.0,6.31,1.82,1.0,1.17,42.79,3.0,173.1
flink-recommandSystem-demo,3.73,3.0,3.78,1.08,1.0,0.27,6.4,1.0,15.62
NineOldAndroids,4.29,2.0,4.36,1.43,1.0,0.71,30.14,0.0,108.07
Robust,3.52,2.0,3.62,1.26,1.0,0.54,17.36,3.5,35.65
java-developer-roadmap,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
